category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Sports_and_Outdoors,marius,42,10,18357,35598,7422,0.4043144304624939,1204,702,8452.165007112375,0.4604328053119995,9904.834992887625,0.5395671946880005,0.003382402517136757
Sports_and_Outdoors,marius,42,20,18357,35598,10108,0.5506346352889906,1293,783,11173.405612244898,0.6086727467584517,7183.594387755102,0.39132725324154827,0.0018163505261516548
Sports_and_Outdoors,marius,43,10,18357,35598,7022,0.38252437762161573,1231,596,8290.115577889446,0.4516051412479951,10066.884422110554,0.5483948587520049,0.003458176015821647
Sports_and_Outdoors,marius,43,20,18357,35598,9651,0.5257394999182873,1320,700,10892.854493580599,0.5933896875077953,7464.1455064194015,0.4066103124922047,0.0018541956092086097
Sports_and_Outdoors,marius,44,10,18357,35598,7165,0.39031432151222967,1245,656,8343.675799086757,0.4545228413731414,10013.324200913243,0.5454771586268585,0.0034975446955310087
Sports_and_Outdoors,marius,44,20,18357,35598,9895,0.539031432151223,1294,733,11034.742506811988,0.6011190557722933,7322.257493188012,0.3988809442277067,0.0018178242301640818
Sports_and_Outdoors,sasrec,42,10,18357,35598,14141,0.7703328430571444,2425,1830,15746.188421627527,0.8577756943742184,2610.8115783724734,0.14222430562578162,0.006812180459576381
Sports_and_Outdoors,sasrec,42,20,18357,35598,15892,0.8657187993680885,1761,1437,16969.663421418638,0.9244246566115726,1387.3365785813621,0.07557534338842742,0.0024734535648070115
Sports_and_Outdoors,sasrec,43,10,18357,35598,12956,0.705779811516043,2561,1750,14828.118789263279,0.807763729872162,3528.881210736721,0.19223627012783795,0.007194224394628912
Sports_and_Outdoors,sasrec,43,20,18357,35598,14848,0.8088467614533965,1956,1533,16094.408083441982,0.8767450064521426,2262.591916558018,0.12325499354785739,0.0027473453564807013
Sports_and_Outdoors,sasrec,44,10,18357,35598,13502,0.7355232336438415,2403,1837,15072.186615886834,0.8210593569693759,3284.8133841131657,0.17894064303062404,0.006750379234788472
Sports_and_Outdoors,sasrec,44,20,18357,35598,15264,0.8315084164079097,1747,1432,16328.292393579903,0.8894858851435367,2028.7076064200974,0.11051411485646333,0.0024537895387381314
