category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Arts_Crafts_and_Sewing,marius,44,10,89958,197286,36480,0.4055225772026946,6703,3495,42904.986556064076,0.4769446470137628,47053.013443935924,0.5230553529862372,0.0033976571726910074
Arts_Crafts_and_Sewing,marius,44,20,89958,197286,47581,0.5289246092621,6855,3772,53807.367611979855,0.5981387715598374,36150.632388020145,0.4018612284401626,0.001737430306360541
Arts_Crafts_and_Sewing,sasrec,44,10,89958,197286,55714,0.619333466728918,11407,7512,64372.87408491947,0.7155880976113239,25585.125915080527,0.28441190238867614,0.005781961213669495
Arts_Crafts_and_Sewing,sasrec,44,20,89958,197286,63338,0.7040841281486916,10402,7220,70829.42791857083,0.7873610787097405,19128.57208142917,0.21263892129025957,0.0026362742414565658
