method,category,seed,step,metric,value,run_name,run_id
sasrec,Sports_and_Outdoors,45,400,HR@5,0.039103321731090546,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,400,NDCG@5,0.02601698227226734,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,400,HR@10,0.06081802397966385,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,400,NDCG@10,0.03299342468380928,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,801,HR@5,0.03983369842171669,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,801,NDCG@5,0.02584189921617508,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,801,HR@10,0.059947188943624496,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,801,NDCG@10,0.03229495510458946,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1202,HR@5,0.039749424904584885,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1202,NDCG@5,0.026003411039710045,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1202,HR@10,0.06048092618584633,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1202,NDCG@10,0.03269151598215103,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1603,HR@5,0.03803584352135658,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1603,NDCG@5,0.02533470280468464,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1603,HR@10,0.059553906321525574,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1603,NDCG@10,0.032241929322481155,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2004,HR@5,0.039075229316949844,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2004,NDCG@5,0.02565016597509384,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2004,HR@10,0.05913253501057625,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2004,NDCG@10,0.03211667761206627,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2405,HR@5,0.038597673177719116,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2405,NDCG@5,0.025335730984807014,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2405,HR@10,0.05879543721675873,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2405,NDCG@10,0.031835418194532394,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2806,HR@5,0.038597673177719116,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2806,NDCG@5,0.025573711842298508,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2806,HR@10,0.05902016907930374,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,2806,NDCG@10,0.032137542963027954,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1,train_loss,11.446832656860352,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,500,train_loss,0.786877453327179,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,1500,train_loss,0.7642367482185364,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,3000,train_loss,0.8096415996551514,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
sasrec,Sports_and_Outdoors,45,3206,train_loss,0.6572269201278687,SASRec_Sports_and_Outdoors_seed45_2026-06-05_22-56-34,86pjdlm1
