category,variant,level,codes_used,codebook_size,usage_ratio,entropy,perplexity,top1_load,n_items
Beauty,before_col,L0,256,256,1.0,5.472946500190497,238.16090107601025,0.012147756383769937,12101
Beauty,before_col,L1,256,256,1.0,5.475454121322895,238.75886780812357,0.021320552020494175,12101
Beauty,before_col,L2,256,256,1.0,5.490826192562523,242.45744066492878,0.016031732914635156,12101
Beauty,before_col,L3,256,256,1.0,5.501931435200941,245.16499557408497,0.02710519791752748,12101
Beauty,after_col,L0,256,256,1.0,5.472946500190497,238.16090107601025,0.012147756383769937,12101
Beauty,after_col,L1,256,256,1.0,5.475454121322895,238.75886780812357,0.021320552020494175,12101
Beauty,after_col,L2,256,256,1.0,5.490826192562523,242.45744066492878,0.016031732914635156,12101
Beauty,after_col,L3,256,256,1.0,5.519948400882191,249.62215657431761,0.01644492190728039,12101
Sports_and_Outdoors,before_col,L0,256,256,1.0,5.473734029803861,238.34853371178403,0.009478672985781991,18357
Sports_and_Outdoors,before_col,L1,256,256,1.0,5.483887143516556,240.7808403259961,0.021354251784060578,18357
Sports_and_Outdoors,before_col,L2,256,256,1.0,5.518871950883062,249.3535953763741,0.008062319551124911,18357
Sports_and_Outdoors,before_col,L3,256,256,1.0,5.5336202184791725,253.05838136206762,0.005610938606526121,18357
Sports_and_Outdoors,after_col,L0,256,256,1.0,5.473734029803861,238.34853371178403,0.009478672985781991,18357
Sports_and_Outdoors,after_col,L1,256,256,1.0,5.483887143516556,240.7808403259961,0.021354251784060578,18357
Sports_and_Outdoors,after_col,L2,256,256,1.0,5.518871950883062,249.3535953763741,0.008062319551124911,18357
Sports_and_Outdoors,after_col,L3,256,256,1.0,5.533851911707549,253.11702006824635,0.005610938606526121,18357
