category,seed,topk,n_queries,mean_lexirecall_pref,fraction_sasrec_preferred,fraction_marius_preferred,fraction_ties
Beauty,42,20,22363,0.001565,0.071994,0.070429,0.857577
Sports_and_Outdoors,42,20,35598,0.002641,0.049413,0.046772,0.903815
