category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Sports_and_Outdoors,marius,42,10,18357,35598,7757,0.4225635997167293,1237,681,8877.91788856305,0.48362574977191536,9479.08211143695,0.5163742502280847,0.0034758321484969906
Sports_and_Outdoors,marius,42,20,18357,35598,10369,0.5648526447676636,1306,758,11491.747035573122,0.6260144378478576,6865.252964426878,0.3739855621521424,0.0018352130449079162
Sports_and_Outdoors,marius,43,10,18357,35598,7624,0.41531840714713736,1239,651,8800.289877300613,0.4793969536035634,9556.710122699387,0.5206030463964366,0.0034809139716975566
Sports_and_Outdoors,marius,43,20,18357,35598,10256,0.5586969548401155,1271,721,11373.84626038781,0.6195917775446865,6983.153739612189,0.38040822245531347,0.0017857644645516621
