category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Arts_Crafts_and_Sewing,marius,42,10,89958,197286,33263,0.36976144422952933,5922,3034,39039.63294892916,0.43397622166932526,50918.36705107084,0.5660237783306747,0.003001753303728064
Arts_Crafts_and_Sewing,marius,42,20,89958,197286,43550,0.484114809133151,6149,3423,49070.45151869159,0.5454817972686319,40887.54848130841,0.4545182027313681,0.0015584622294044237
Arts_Crafts_and_Sewing,sasrec,42,10,89958,197286,51453,0.5719669178950176,11609,7383,60577.95070422535,0.6734025957027208,29380.049295774646,0.32659740429727924,0.005884350638159829
Arts_Crafts_and_Sewing,sasrec,42,20,89958,197286,59426,0.6605971675670869,10819,7156,67602.60625960598,0.7514907652416236,22355.39374039402,0.24850923475837638,0.0027419583751507963
