category,model,k,n_catalog_mean,n_catalog_std,n_users_mean,n_users_std,observed_reached_mean,observed_reached_std,observed_coverage_mean,observed_coverage_std,f1_singletons_mean,f1_singletons_std,f2_doubletons_mean,f2_doubletons_std,chao1_mean,chao1_std,chao1_coverage_mean,chao1_coverage_std,est_structural_unreachable_mean,est_structural_unreachable_std,est_structural_unreachable_frac_mean,est_structural_unreachable_frac_std,turing_unseen_mass_mean,turing_unseen_mass_std
Sports_and_Outdoors,marius,10,18357.0,0.0,35598.0,0.0,7353.5,37.476659402887016,0.4005828839134935,0.002041545971721253,1102.0,32.526911934581186,614.5,12.020815280171307,8339.17235616525,76.43654271029142,0.4542775157250777,0.004163890761578259,10017.82764383475,76.43654271029142,0.5457224842749222,0.004163890761578279,0.0030970111711387605,9.144907901925481e-05
Sports_and_Outdoors,marius,20,18357.0,0.0,35598.0,0.0,9746.0,4.242640687119285,0.5309146374679958,0.00023111841189294317,1126.5,37.476659402887016,630.5,26.16295090390226,10749.893793449617,20.989179513825853,0.5856018844827378,0.0011433883267322922,7607.106206550382,20.98917951382521,0.4143981155172622,0.0011433883267323315,0.0015836883496719856,5.2593672176020806e-05
