method,seed,level,gini,entropy,ild,category_ild,unknown_category_frac,n_total,n_groups,mean_group_size,mean_distinct_codes,total_distinct_codes,valid_HR10
MARIUS,42,0,0.9940179584619537,0.06242581943719833,0.253613742432173,,,256,1,3945720.0,252.0,252,0.05909694731235504
MARIUS,44,0,0.994104030759912,0.06224812224132807,0.25360124387944405,,,256,1,3945720.0,250.0,250,0.05972547456622124
MARIUS,46,0,0.9940513470925458,0.062445390137595556,0.25359461444432524,,,256,1,3945720.0,254.0,254,0.05891953781247139
MARIUS,48,0,0.9940561446168253,0.06243263211514113,0.25359572157332905,,,256,1,3945720.0,251.0,251,0.05911722034215927
MARIUS,50,0,0.9939522008974281,0.06273771523405902,0.2536408871011201,,,256,1,3945720.0,252.0,252,0.05929462984204292
MARIUS,42,1,0.9958197545378283,0.015317826727844422,,,,256,252,15657.619047619048,14.738095238095237,257,0.05909694731235504
MARIUS,44,1,0.9958272567332451,0.015373096831198165,,,,256,250,15782.88,15.108,257,0.05972547456622124
MARIUS,46,1,0.9958375190396176,0.015255653851310088,,,,256,254,15534.330708661417,15.228346456692913,256,0.05891953781247139
MARIUS,48,1,0.9958244689023803,0.015463447216472784,,,,256,251,15720.0,15.374501992031872,255,0.05911722034215927
MARIUS,50,1,0.9958252094199538,0.015256493906199797,,,,256,252,15657.619047619048,15.234126984126984,255,0.05929462984204292
MARIUS,42,2,0.9960609850673642,0.004541059613749625,,,,256,3714,1062.3909531502422,1.7404415724286484,257,0.05909694731235504
MARIUS,44,2,0.996055999443701,0.004768087163221081,,,,256,3777,1044.6703733121526,1.7384167328567646,257,0.05972547456622124
MARIUS,46,2,0.9960579952771611,0.004752676509520168,,,,256,3868,1020.0930713547053,1.7381075491209927,257,0.05891953781247139
MARIUS,48,2,0.9960613157262806,0.0045893395552298296,,,,256,3859,1022.4721430422389,1.746048199015289,255,0.05911722034215927
MARIUS,50,2,0.9960612286065661,0.004597452226596178,,,,256,3839,1027.7989059650952,1.7512373013805678,257,0.05929462984204292
MARIUS,42,3,0.9222921232531706,2.9799766062249278,,,,256,6464,610.414603960396,1.2003403465346534,276,0.05909694731235504
MARIUS,44,3,0.9222912718559604,2.9801092252410974,,,,256,6566,600.9320743222662,1.2088029241547364,276,0.05972547456622124
MARIUS,46,3,0.9222900759398791,2.9802040602485214,,,,256,6723,586.8987059348506,1.2080916257623084,276,0.05891953781247139
MARIUS,48,3,0.9222908738772645,2.9800475275408944,,,,256,6738,585.5921638468388,1.193380825170674,276,0.05911722034215927
MARIUS,50,3,0.9222903234390681,2.9801496113141943,,,,256,6723,586.8987059348506,1.2127026625018593,276,0.05929462984204292
MARIUS,42,item,0.9995366432387677,3.062261312003721,1.0,,0.9942623906409983,89958,,,,,0.05909694731235504
MARIUS,44,item,0.9995265514419318,3.0624985314768454,1.0,,0.9942649250326937,89958,,,,,0.05972547456622124
MARIUS,46,item,0.9995183390357975,3.0626577807469473,1.0,,0.9942654319110327,89958,,,,,0.05891953781247139
MARIUS,48,item,0.9995238520237487,3.0625329464277393,1.0,,0.9942639112760155,89958,,,,,0.05911722034215927
MARIUS,50,item,0.9995162312461378,3.06274127268105,1.0,,0.9942656853502022,89958,,,,,0.05929462984204292
SASRec,42,item,0.9997776417562391,2.9980796515616,1.0,,0.05,89958,,,,,0.060166459530591965
SASRec,44,item,0.9997776417562391,2.9980796515616,1.0,,0.05,89958,,,,,0.05873199179768562
SASRec,46,item,0.9997776417562391,2.9980796515616,1.0,,0.05,89958,,,,,0.05976095795631409
SASRec,48,item,0.9997776417562391,2.9980796515616,1.0,,0.05,89958,,,,,0.058438003063201904
SASRec,50,item,0.9997776417562391,2.9980796515616,1.0,,0.05,89958,,,,,0.06008535996079445
