category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Beauty,marius,42,10,0.05,1118,3692,0.3050987521692422
Beauty,marius,42,10,0.1,2236,4763,0.39360383439385177
Beauty,marius,42,10,0.2,4473,5735,0.47392777456408564
Beauty,marius,42,10,0.4,8945,6630,0.5478886042475828
Beauty,marius,42,10,0.6,13418,7139,0.5899512436988679
Beauty,marius,42,10,0.8,17890,7447,0.6154036856458144
Beauty,marius,42,10,1.0,22363,7666,0.6335013635236757
Beauty,marius,42,20,0.05,1118,5345,0.4416990331377572
Beauty,marius,42,20,0.1,2236,6502,0.5373109660358648
Beauty,marius,42,20,0.2,4473,7515,0.6210230559457897
Beauty,marius,42,20,0.4,8945,8353,0.6902735311131312
Beauty,marius,42,20,0.6,13418,8745,0.7226675481365177
Beauty,marius,42,20,0.8,17890,8974,0.7415916039996695
Beauty,marius,42,20,1.0,22363,9141,0.7553921163540204
Beauty,marius,43,10,0.05,1118,3792,0.3133625320221469
Beauty,marius,43,10,0.1,2236,4986,0.41203206346582927
Beauty,marius,43,10,0.2,4473,6090,0.5032641930418974
Beauty,marius,43,10,0.4,8945,7077,0.5848277001900669
Beauty,marius,43,10,0.6,13418,7544,0.6234195521031319
Beauty,marius,43,10,0.8,17890,7873,0.6506073878191885
Beauty,marius,43,10,1.0,22363,8135,0.6722584910337989
Beauty,marius,43,20,0.05,1118,5527,0.4567391124700438
Beauty,marius,43,20,0.1,2236,6769,0.5593752582431204
Beauty,marius,43,20,0.2,4473,7890,0.6520122303941823
Beauty,marius,43,20,0.4,8945,8730,0.721427981158582
Beauty,marius,43,20,0.6,13418,9107,0.7525824312040327
Beauty,marius,43,20,0.8,17890,9346,0.772332865052475
Beauty,marius,43,20,1.0,22363,9515,0.786298653003884
