category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Beauty,marius,42,10,12101,22363,7666,0.6335013635236757,1024,614,8517.668292682927,0.7038813563079851,3583.331707317073,0.29611864369201496,0.004591887068277414
Beauty,marius,42,20,12101,22363,9141,0.7553921163540204,758,480,9737.471933471934,0.8046832438205053,2363.528066528066,0.19531675617949476,0.0017022499792271606
Beauty,marius,43,10,12101,22363,8135,0.6722584910337989,1012,656,8913.639269406392,0.7366035261058088,3187.3607305936075,0.2633964738941912,0.004539602650194907
Beauty,marius,43,20,12101,22363,9515,0.786298653003884,749,490,10085.521384928717,0.8334452842681364,2015.4786150712825,0.1665547157318637,0.0016827943822976322
