category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Arts_Crafts_and_Sewing,marius,48,10,0.05,9864,15743,0.17500389070455102
Arts_Crafts_and_Sewing,marius,48,10,0.1,19729,20152,0.22401565174859378
Arts_Crafts_and_Sewing,marius,48,10,0.2,39457,24781,0.27547299851041596
Arts_Crafts_and_Sewing,marius,48,10,0.4,78914,29514,0.3280864403388248
Arts_Crafts_and_Sewing,marius,48,10,0.6,118372,32251,0.35851174992774404
Arts_Crafts_and_Sewing,marius,48,10,0.8,157829,34206,0.38024411391982926
Arts_Crafts_and_Sewing,marius,48,10,1.0,197286,35734,0.39722981835967897
Arts_Crafts_and_Sewing,marius,48,20,0.05,9864,23843,0.26504591031370195
Arts_Crafts_and_Sewing,marius,48,20,0.1,19729,29248,0.32512950488005515
Arts_Crafts_and_Sewing,marius,48,20,0.2,39457,34775,0.3865692878899042
Arts_Crafts_and_Sewing,marius,48,20,0.4,78914,40188,0.4467418128459948
Arts_Crafts_and_Sewing,marius,48,20,0.6,118372,43121,0.47934591698348117
Arts_Crafts_and_Sewing,marius,48,20,0.8,157829,45111,0.5014673514306677
Arts_Crafts_and_Sewing,marius,48,20,1.0,197286,46662,0.5187087307410124
Arts_Crafts_and_Sewing,sasrec,48,10,0.05,9864,17742,0.1972253718401921
Arts_Crafts_and_Sewing,sasrec,48,10,0.1,19729,25162,0.2797083083216612
Arts_Crafts_and_Sewing,sasrec,48,10,0.2,39457,34078,0.3788212276840303
Arts_Crafts_and_Sewing,sasrec,48,10,0.4,78914,44072,0.48991751706351855
Arts_Crafts_and_Sewing,sasrec,48,10,0.6,118372,49635,0.5517574868271861
Arts_Crafts_and_Sewing,sasrec,48,10,0.8,157829,53340,0.5929433735743347
Arts_Crafts_and_Sewing,sasrec,48,10,1.0,197286,55983,0.6223237510838391
Arts_Crafts_and_Sewing,sasrec,48,20,0.05,9864,24424,0.271504479868383
Arts_Crafts_and_Sewing,sasrec,48,20,0.1,19729,33000,0.36683785766691124
Arts_Crafts_and_Sewing,sasrec,48,20,0.2,39457,42600,0.47355432535183084
Arts_Crafts_and_Sewing,sasrec,48,20,0.4,78914,52566,0.584339358367238
Arts_Crafts_and_Sewing,sasrec,48,20,0.6,118372,57831,0.6428666711131862
Arts_Crafts_and_Sewing,sasrec,48,20,0.8,157829,61227,0.6806176215567264
Arts_Crafts_and_Sewing,sasrec,48,20,1.0,197286,63704,0.7081526934791792
