category,model,k,n_catalog_mean,n_catalog_std,n_users_mean,n_users_std,observed_reached_mean,observed_reached_std,observed_coverage_mean,observed_coverage_std,f1_singletons_mean,f1_singletons_std,f2_doubletons_mean,f2_doubletons_std,chao1_mean,chao1_std,chao1_coverage_mean,chao1_coverage_std,est_structural_unreachable_mean,est_structural_unreachable_std,est_structural_unreachable_frac_mean,est_structural_unreachable_frac_std,turing_unseen_mass_mean,turing_unseen_mass_std
Arts_Crafts_and_Sewing,marius,10,89958.0,,197286.0,,35734.0,,0.39722981835967897,,6695.0,,3460.0,,42208.477029760186,,0.46920203906000785,,47749.522970239814,,0.5307979609399921,,0.0033936485295287975,
Arts_Crafts_and_Sewing,marius,20,89958.0,,197286.0,,46662.0,,0.5187087307410124,,6640.0,,3780.0,,52491.53715948162,,0.583511607188706,,37466.46284051838,,0.41648839281129396,,0.0016829836664407482,
Arts_Crafts_and_Sewing,sasrec,10,89958.0,,197286.0,,55983.0,,0.6223237510838391,,11707.0,,7910.0,,64644.49298445203,,0.7186074944357592,,25313.50701554797,,0.2813925055642408,,0.005934024715387813,
Arts_Crafts_and_Sewing,sasrec,20,89958.0,,197286.0,,63704.0,,0.7081526934791792,,10543.0,,7446.0,,71166.35437088761,,0.7911064537994131,,18791.64562911239,,0.20889354620058684,,0.0026720091643603703,
