category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Beauty,marius,42,10,12101,22363,7682,0.6348235683001405,1038,647,8512.560185185186,0.7034592335497221,3588.439814814814,0.296540766450278,0.004652622142536979
Beauty,marius,42,20,12101,22363,9340,0.7718370382613007,823,526,9981.846299810246,0.8248778034716342,2119.153700189754,0.17512219652836578,0.0018468153094930346
Beauty,marius,43,10,12101,22363,8410,0.6949838856292868,1103,716,9257.63319386332,0.7650304267302966,2843.3668061366807,0.23496957326970339,0.004944259414488518
Beauty,marius,43,20,12101,22363,9923,0.8200148748037352,791,563,10476.9804964539,0.8657946034587142,1624.0195035461002,0.13420539654128585,0.0017752342478819503
